NIB,NPWP,NAMA_PERUSAHAAN,ALAMAT,STATUS_NIB_OSS,STATUS_NIB_CEISA,ID_CEISA,SOURCE
5634216073375.0,43.303.654.1-458.685,PT PRAKASA,Gang Ronggowarsito No. 602,AKTIF,AKTIF,C000014,OSS_CEISA
1429401965569.0,81.693.406.0-883.561,PERUM WIJAYANTI LAKSITA PERSERO TBK,Jalan Cikutra Barat No. 8,AKTIF,AKTIF,C000015,OSS_CEISA
9514846564823.0,66.299.468.0-443.699,PT MELANI HUTAPEA,Jl. Tebet Barat Dalam No. 619,AKTIF,AKTIF,C000016,OSS_CEISA
7773872148951.0,34.332.003.7-917.693,PERUM PRATIWI NURDIYANTI TBK,Gg. Moch. Toha No. 62,AKTIF,AKTIF,C000017,OSS_CEISA
7632016328708.0,31.727.889.5-798.687,PT NASYIAH,Jalan Sentot Alibasa No. 354,AKTIF,AKTIF,C000018,OSS_CEISA
7743487347143.0,45.581.223.6-231.665,PERUM SALAHUDIN,Gg. Gardujati No. 824,AKTIF,AKTIF,C000019,OSS_CEISA
6036690967054.0,66.889.373.4-670.656,UD HABIBI ISWAHYUDI TBK,Jl. Rumah Sakit No. 427,AKTIF,AKTIF,C000020,OSS_CEISA
7298069901627.0,20.465.375.5-646.417,UD PADMASARI,Jalan Cihampelas No. 50,AKTIF,AKTIF,C000021,OSS_CEISA
8053100330923.0,27.193.745.2-991.241,PERUM MANGUNSONG PRAKASA PERSERO TBK,Jalan Jend. Sudirman No. 5,AKTIF,AKTIF,C000022,OSS_CEISA
4966319314919.0,05.865.185.0-671.657,PD PRASETYA,Gang Rajawali Timur No. 303,AKTIF,AKTIF,C000023,OSS_CEISA
,14.737.996.5-075.273,PERUM SITOMPUL DABUKKE PERSERO TBK,Gg. BKR No. 965,AKTIF,AKTIF,C000024,OSS_CEISA
4549480831367.0,83.777.014.3-634.957,UD GUNAWAN FUJIATI,Gg. Bangka Raya No. 595,AKTIF,AKTIF,C000025,OSS_CEISA
5685574443135.0,18.233.749.8-941.343,UD PUSPASARI MAHENDRA PERSERO TBK,Jalan Kendalsari No. 4,AKTIF,AKTIF,C000026,OSS_CEISA
2408240084271.0,09.477.752.0-471.167,PERUM SUDIATI YOLANDA TBK,Gang Tebet Barat Dalam No. 872,AKTIF,AKTIF,C000027,OSS_CEISA
,93.867.749.6-499.091,UD PRASETYO NAPITUPULU,Jl. Pacuan Kuda No. 91,AKTIF,AKTIF,C000028,OSS_CEISA
3412328120679.0,74.034.471.3-493.618,CV MAULANA YOLANDA PERSERO TBK,Jalan Jend. Sudirman No. 8,AKTIF,AKTIF,C000029,OSS_CEISA
2421024994717.0,46.488.771.9-065.940,PD WIDIASTUTI NURAINI,Gang M.H Thamrin No. 27,AKTIF,AKTIF,C000030,OSS_CEISA
3990490278742.0,96.717.565.5-125.674,UD FARIDA HUTAGALUNG,Gg. Rumah Sakit No. 81,AKTIF,AKTIF,C000031,OSS_CEISA
8071545168087.0,60.385.977.0-348.247,PD WASITA,Gang Cikutra Barat No. 669,AKTIF,AKTIF,C000032,OSS_CEISA
1093248086131.0,71.274.846.7-737.826,PD ANDRIANI PERSERO TBK,Gg. Bangka Raya No. 06,AKTIF,AKTIF,C000033,OSS_CEISA
9821465840449.0,97.278.755.8-867.533,PD RAHAYU,Gg. HOS. Cokroaminoto No. 20,AKTIF,AKTIF,C000034,OSS_CEISA
,51.718.702.6-217.459,PD SETIAWAN TBK,Gg. Asia Afrika No. 8,AKTIF,AKTIF,C000035,OSS_CEISA
1586578091343.0,16.117.240.0-504.556,CV DAMANIK OKTAVIANI,Jl. Waringin No. 1,AKTIF,AKTIF,C000036,OSS_CEISA
3869222196937.0,92.374.740.7-482.175,CV SARAGIH,Gg. Joyoboyo No. 6,AKTIF,AKTIF,C000037,OSS_CEISA
6474367136959.0,44.064.090.9-743.953,PERUM LAZUARDI PERSERO TBK,Gang Cikutra Timur No. 5,AKTIF,AKTIF,C000038,OSS_CEISA
9421047095214.0,56.232.858.8-424.745,CV FUJIATI NUGROHO TBK,Gang Kutai No. 53,AKTIF,AKTIF,C000039,OSS_CEISA
7123685160481.0,75.496.513.7-098.593,UD DABUKKE LAILASARI TBK,Jalan Setiabudhi No. 54,AKTIF,AKTIF,C000040,OSS_CEISA
7461200471138.0,26.758.692.6-179.640,PD LESTARI PUSPITA,Gang Cihampelas No. 143,AKTIF,AKTIF,C000041,OSS_CEISA
3773515850643.0,17.139.005.3-293.183,PD PUDJIASTUTI TBK,Gang Rajawali Timur No. 31,AKTIF,AKTIF,C000042,OSS_CEISA
3529042284210.0,20.539.502.4-026.811,PD SAEFULLAH RAHMAWATI,Jl. PHH. Mustofa No. 524,AKTIF,AKTIF,C000043,OSS_CEISA
7589178390847.0,00.766.177.1-159.212,CV UYAINAH TBK,Gg. Waringin No. 75,AKTIF,AKTIF,C000044,OSS_CEISA
9985698478961.0,18.367.365.7-661.565,PD HIDAYANTO PERMATA PERSERO TBK,Gg. Ciwastra No. 186,AKTIF,AKTIF,C000045,OSS_CEISA
5271111615280.0,98.851.656.0-494.519,UD PURNAWATI SAFITRI PERSERO TBK,Jl. Pasirkoja No. 1,AKTIF,AKTIF,C000046,OSS_CEISA
3273158514936.0,89.980.940.2-445.502,PD HARTATI,Jalan Moch. Ramdan No. 47,AKTIF,AKTIF,C000047,OSS_CEISA
9612018366752.0,54.599.102.2-901.476,PERUM PRASETYO,Jalan Ciumbuleuit No. 249,AKTIF,AKTIF,C000048,OSS_CEISA
9764381561497.0,84.036.900.3-432.445,PERUM NAMAGA TBK,Jl. Bangka Raya No. 5,AKTIF,AKTIF,C000049,OSS_CEISA
762268388516.0,06.071.596.9-664.160,UD PERMATA,Gg. M.T Haryono No. 7,AKTIF,AKTIF,C000050,OSS_CEISA
2975161369681.0,64.535.218.1-883.552,UD WASITA SITORUS TBK,Gg. Tubagus Ismail No. 7,AKTIF,AKTIF,C000051,OSS_CEISA
,79.955.271.7-744.905,UD SINAGA PERSERO TBK,Gg. Tubagus Ismail No. 385,AKTIF,AKTIF,C000052,OSS_CEISA
1477005411998.0,67.980.793.5-978.207,UD FARIDA LAKSITA,Jl. Jamika No. 80,AKTIF,AKTIF,C000053,OSS_CEISA
5182037788925.0,54.665.905.1-518.644,PD SIREGAR MELANI,Gang Waringin No. 782,AKTIF,AKTIF,C000054,OSS_CEISA
5192546291486.0,52.816.850.5-423.573,PD SIREGAR TBK,Gang Kutai No. 7,AKTIF,AKTIF,C000055,OSS_CEISA
2214188805929.0,62.229.270.6-537.947,PD SINAGA NAINGGOLAN PERSERO TBK,Gg. Cihampelas No. 76,AKTIF,AKTIF,C000056,OSS_CEISA
8347359774688.0,62.392.407.5-818.141,PT FARIDA PERSERO TBK,Jl. Tubagus Ismail No. 2,AKTIF,AKTIF,C000057,OSS_CEISA
4782613750606.0,85.361.530.5-152.204,UD WULANDARI,Gang R.E Martadinata No. 913,AKTIF,AKTIF,C000058,OSS_CEISA
2779010432898.0,61.434.103.6-971.179,CV SALAHUDIN DABUKKE PERSERO TBK,Gg. Setiabudhi No. 62,AKTIF,AKTIF,C000059,OSS_CEISA
893246095396.0,21.851.888.8-806.706,PT SURYATMI WIBOWO,Jalan Moch. Ramdan No. 47,AKTIF,AKTIF,C000060,OSS_CEISA
4051531952058.0,52.772.217.0-430.305,PD SITUMORANG,Gang Erlangga No. 36,AKTIF,AKTIF,C000061,OSS_CEISA
8687403450541.0,56.676.527.7-584.161,UD DAMANIK TBK,Jl. Rungkut Industri No. 7,AKTIF,AKTIF,C000062,OSS_CEISA
,27.570.596.4-016.582,CV UTAMI PERSERO TBK,Gang BKR No. 5,AKTIF,AKTIF,C000063,OSS_CEISA
2970213556909.0,27.557.192.8-565.431,CV NAMAGA UTAMA,Gg. Ronggowarsito No. 51,AKTIF,AKTIF,C000064,OSS_CEISA
2786814473947.0,31.217.271.5-518.844,PT WIDODO PERSERO TBK,Gg. Soekarno Hatta No. 4,AKTIF,AKTIF,C000065,OSS_CEISA
2583132370589.0,57.829.114.6-786.691,PERUM PRASETYA PERSERO TBK,Gang Gardujati No. 004,AKTIF,AKTIF,C000066,OSS_CEISA
5177852892268.0,01.824.225.3-584.143,PD UWAIS WINARSIH TBK,Jalan Rajiman No. 6,AKTIF,AKTIF,C000067,OSS_CEISA
2498182992299.0,59.001.094.3-969.078,UD JANUAR UWAIS,Gg. Pelajar Pejuang No. 171,AKTIF,AKTIF,C000068,OSS_CEISA
4736471027677.0,35.925.556.2-588.153,PERUM PUTRA HIDAYAT,Jl. Rumah Sakit No. 904,AKTIF,AKTIF,C000069,OSS_CEISA
1473210469632.0,59.532.787.7-470.168,CV BUDIMAN,Gg. Asia Afrika No. 402,AKTIF,AKTIF,C000070,OSS_CEISA
3395004797480.0,16.245.650.6-098.358,PERUM RAHAYU PERSERO TBK,Jl. Kapten Muslihat No. 4,AKTIF,AKTIF,C000071,OSS_CEISA
1687849912165.0,58.523.986.8-000.257,PD HANDAYANI,Gg. Rungkut Industri No. 124,AKTIF,AKTIF,C000072,OSS_CEISA
7298259526949.0,58.887.947.0-551.694,PT LATUPONO YOLANDA PERSERO TBK,Jalan Tubagus Ismail No. 76,AKTIF,AKTIF,C000073,OSS_CEISA
9749930972896.0,23.091.307.5-626.368,CV KUSMAWATI PERSERO TBK,Jl. Bangka Raya No. 528,AKTIF,AKTIF,C000074,OSS_CEISA
283857865278.0,58.549.733.4-843.443,UD WIDIASTUTI ANGGRAINI PERSERO TBK,Gang Dr. Djunjunan No. 8,AKTIF,AKTIF,C000075,OSS_CEISA
5758441986652.0,40.415.747.3-384.842,PT SETIAWAN PERSERO TBK,Gg. Astana Anyar No. 445,AKTIF,AKTIF,C000076,OSS_CEISA
5758441986652.0,40.415.747.3-384.842,PT SETIAWAN PERSERO TBK,Gg. Astana Anyar No. 445,AKTIF,AKTIF,C000076,OSS_CEISA
9933083301657.0,12.082.677.3-454.019,CV USADA,Jl. Sukabumi No. 75,AKTIF,AKTIF,C000077,OSS_CEISA
8026206724004.0,99.154.788.7-287.431,PT MANGUNSONG,Jl. Pasteur No. 67,AKTIF,AKTIF,C000078,OSS_CEISA
2742054932966.0,85.161.227.5-304.637,PD KUSUMO TBK,Jalan Merdeka No. 90,AKTIF,AKTIF,C000079,OSS_CEISA
5499045301742.0,68.414.593.3-272.795,UD LAZUARDI PERSERO TBK,Jalan Gegerkalong Hilir No. 83,AKTIF,AKTIF,C000080,OSS_CEISA
8783391878519.0,10.883.982.2-587.139,PT SIHOTANG PERMATA TBK,Gang Gardujati No. 05,AKTIF,AKTIF,C000081,OSS_CEISA
1870728679087.0,40.640.391.0-651.801,CV FUJIATI,Gg. Rajawali Timur No. 5,AKTIF,AKTIF,C000082,OSS_CEISA
462265676618.0,25.128.682.3-004.786,UD TAMPUBOLON YULIARTI,Jl. Ir. H. Djuanda No. 32,AKTIF,AKTIF,C000083,OSS_CEISA
6337524310690.0,33.119.079.0-306.738,PERUM YUNIAR USADA TBK,Gg. Cikutra Timur No. 74,AKTIF,AKTIF,C000084,OSS_CEISA
284395995342.0,83.644.089.2-687.056,PD HARTATI PERSERO TBK,Gang Ciumbuleuit No. 1,AKTIF,AKTIF,C000085,OSS_CEISA
5662462873342.0,70.866.882.6-343.517,UD SUARTINI KUSMAWATI,Gg. Dr. Djunjunan No. 18,AKTIF,AKTIF,C000086,OSS_CEISA
1830469901398.0,37.354.033.1-739.363,UD WAHYUDIN SURYONO,Gang Tebet Barat Dalam No. 0,AKTIF,AKTIF,C000087,OSS_CEISA
4678544587717.0,53.556.093.2-048.996,UD WAHYUNI PERSERO TBK,Jl. Sentot Alibasa No. 62,AKTIF,AKTIF,C000088,OSS_CEISA
2353693785477.0,72.522.872.8-080.100,PD MELANI,Gg. Rajawali Timur No. 357,AKTIF,AKTIF,C000089,OSS_CEISA
2312038750997.0,70.088.600.8-484.086,PERUM NAMAGA,Jalan Kutisari Selatan No. 22,AKTIF,AKTIF,C000090,OSS_CEISA
1182339845461.0,56.793.341.0-166.687,CV HANDAYANI TBK,Jl. Rajawali Timur No. 35,AKTIF,AKTIF,C000091,OSS_CEISA
217659180339.0,74.014.890.2-503.926,CV PANGESTU SUARTINI PERSERO TBK,Gg. Soekarno Hatta No. 1,AKTIF,AKTIF,C000092,OSS_CEISA
4293968562185.0,01.631.599.9-650.477,PD ISWAHYUDI PRASETYA,Jalan Veteran No. 685,AKTIF,AKTIF,C000093,OSS_CEISA
5866296194311.0,42.626.551.1-047.541,PT YULIANTI TBK,Jl. Peta No. 27,AKTIF,AKTIF,C000094,OSS_CEISA
1267888610158.0,19.956.046.6-183.982,CV PUDJIASTUTI SUDIATI,Gg. Moch. Toha No. 10,AKTIF,AKTIF,C000095,OSS_CEISA
2244472126464.0,71.543.799.3-712.406,PERUM NASYIAH BUDIYANTO PERSERO TBK,Gang Abdul Muis No. 5,AKTIF,AKTIF,C000096,OSS_CEISA
9657569245937.0,52.654.793.5-646.519,PT NOVITASARI PERSERO TBK,Jalan KH Amin Jasuta No. 54,AKTIF,AKTIF,C000097,OSS_CEISA
9828073741672.0,43.426.617.9-796.886,CV GUNAWAN TBK,Gg. Ronggowarsito No. 2,AKTIF,AKTIF,C000098,OSS_CEISA
5891135290965.0,61.014.388.8-993.756,CV GUNARTO,Gang R.E Martadinata No. 40,AKTIF,AKTIF,C000099,OSS_CEISA
9825071461125.0,45.738.757.1-775.140,UD FUJIATI,Gang Sadang Serang No. 775,AKTIF,AKTIF,C000100,OSS_CEISA
512382825867.0,36.226.609.3-796.603,PERUM SIHOMBING SINAGA,Gg. Kapten Muslihat No. 47,AKTIF,AKTIF,C000101,OSS_CEISA
4191825537147.0,85.969.691.5-579.249,PERUM FUJIATI TBK,Gg. Siliwangi No. 2,AKTIF,AKTIF,C000102,OSS_CEISA
2513412528669.0,29.662.782.8-274.225,CV YULIARTI,Gang Ahmad Yani No. 927,AKTIF,AKTIF,C000103,OSS_CEISA
9050723688767.0,67.721.903.4-043.842,PD SIHOTANG TBK,Jl. K.H. Wahid Hasyim No. 86,AKTIF,AKTIF,C000104,OSS_CEISA
9788191485807.0,83.613.407.4-517.133,PD PANGESTU PERSERO TBK,Gg. Jend. Sudirman No. 7,AKTIF,AKTIF,C000105,OSS_CEISA
9629233095849.0,82.544.948.1-260.422,UD MANULLANG PERSERO TBK,Jl. Kiaracondong No. 370,AKTIF,AKTIF,C000106,OSS_CEISA
2536729466711.0,68.457.759.0-175.186,PERUM IRAWAN HARYANTO,Gang Ahmad Dahlan No. 69,AKTIF,AKTIF,C000107,OSS_CEISA
6374545892975.0,00.170.127.7-063.242,CV PUSPASARI PERSERO TBK,Jalan Gedebage Selatan No. 2,AKTIF,AKTIF,C000108,OSS_CEISA
1541520643611.0,03.712.938.7-005.162,PT RAMADAN PERSERO TBK,Gg. Kendalsari No. 1,AKTIF,AKTIF,C000109,OSS_CEISA
1361115542622.0,18.909.275.3-269.731,PERUM GUNARTO PERSERO TBK,Gg. Suryakencana No. 969,AKTIF,AKTIF,C000110,OSS_CEISA
2196565234138.0,99.940.438.9-836.403,PD SALAHUDIN HASANAH,Jl. Cempaka No. 77,AKTIF,AKTIF,C000111,OSS_CEISA
6137918055269.0,65.827.109.1-043.006,PD MUSTOFA TBK,Jalan Rawamangun No. 473,AKTIF,AKTIF,C000112,OSS_CEISA
4866618892414.0,18.328.569.1-463.031,CV MANULLANG SIMBOLON TBK,Gg. Monginsidi No. 74,AKTIF,AKTIF,C000113,OSS_CEISA
1799042102027.0,58.842.524.1-056.481,CV PADMASARI THAMRIN,Gg. Yos Sudarso No. 7,AKTIF,AKTIF,C000114,OSS_CEISA
9177850792524.0,19.138.000.3-075.622,UD WASKITA TBK,Jalan Ahmad Yani No. 3,AKTIF,AKTIF,C000115,OSS_CEISA
8635365419518.0,02.380.617.4-451.870,PERUM SETIAWAN OKTAVIANI PERSERO TBK,Gg. Soekarno Hatta No. 85,AKTIF,AKTIF,C000116,OSS_CEISA
3494937597383.0,20.603.850.5-064.138,PT FIRGANTORO,Gang M.T Haryono No. 29,AKTIF,AKTIF,C000117,OSS_CEISA
,91.826.199.0-623.445,PERUM SIRAIT TBK,Jalan Soekarno Hatta No. 16,AKTIF,AKTIF,C000118,OSS_CEISA
5574313291212.0,77.561.853.7-474.112,PT PADMASARI KUSWANDARI,Jalan Pacuan Kuda No. 913,AKTIF,AKTIF,C000119,OSS_CEISA
9035213568044.0,20.678.831.7-121.003,PD MARDHIYAH SURYATMI,Jl. M.T Haryono No. 857,AKTIF,AKTIF,C000120,OSS_CEISA
3651994101372.0,15.107.029.6-670.662,UD SURYATMI TBK,Gg. Stasiun Wonokromo No. 34,AKTIF,AKTIF,C000121,OSS_CEISA
3244720999347.0,68.701.462.6-383.806,UD MAHESWARA TBK,Jalan PHH. Mustofa No. 415,AKTIF,AKTIF,C000122,OSS_CEISA
7875985642059.0,30.407.859.3-213.348,PERUM SAPUTRA PERSERO TBK,Jl. Cikapayang No. 8,AKTIF,AKTIF,C000123,OSS_CEISA
3965223955905.0,99.293.784.2-701.039,PT ZULAIKA MANDALA PERSERO TBK,Gang Ronggowarsito No. 3,AKTIF,AKTIF,C000124,OSS_CEISA
,29.218.515.6-915.452,PERUM FIRGANTORO NATSIR,Jl. Suniaraja No. 24,AKTIF,AKTIF,C000125,OSS_CEISA
6752895392644.0,22.096.902.9-593.917,UD HASANAH TBK,Gang Kebonjati No. 527,AKTIF,AKTIF,C000126,OSS_CEISA
5135521570433.0,15.410.067.6-267.658,CV SURYATMI UYAINAH,Gang Dipatiukur No. 12,AKTIF,AKTIF,C000127,OSS_CEISA
1793271040541.0,15.262.181.5-997.062,CV HASSANAH SANTOSO TBK,Gg. Suryakencana No. 30,AKTIF,AKTIF,C000128,OSS_CEISA
2015336884443.0,10.698.720.5-061.497,PT UYAINAH TBK,Jl. HOS. Cokroaminoto No. 27,AKTIF,AKTIF,C000129,OSS_CEISA
1032417146774.0,18.625.652.7-047.743,PERUM HUTAPEA NOVITASARI,Jalan Ahmad Yani No. 088,AKTIF,AKTIF,C000130,OSS_CEISA
9021158693806.0,86.879.374.1-608.989,PT ZULAIKA PUTRA TBK,Jalan Erlangga No. 867,AKTIF,AKTIF,C000131,OSS_CEISA
1722332061632.0,94.511.686.8-548.709,PT PRATAMA PERSERO TBK,Gang Cikutra Timur No. 0,AKTIF,AKTIF,C000132,OSS_CEISA
6162299911914.0,85.646.799.7-024.629,PD WAHYUDIN WIBOWO,Gang Ciwastra No. 8,AKTIF,AKTIF,C000133,OSS_CEISA
653074505444.0,71.324.754.6-913.736,CV ADRIANSYAH DAMANIK,Gang Jayawijaya No. 33,AKTIF,AKTIF,C000134,OSS_CEISA
8508214862890.0,23.303.070.5-345.786,PD SUSANTI,Jl. Cikutra Timur No. 907,AKTIF,AKTIF,C000135,OSS_CEISA
357972798552.0,41.406.029.3-333.468,PT MANDALA MARDHIYAH,Gg. Joyoboyo No. 5,AKTIF,AKTIF,C000136,OSS_CEISA
357972798552.0,41.406.029.3-333.468,PT MANDALA MARDHIYAH,Gg. Joyoboyo No. 5,AKTIF,AKTIF,C000136,OSS_CEISA
722903494466.0,57.437.489.6-910.858,UD HALIM PERSERO TBK,Jalan Sentot Alibasa No. 6,AKTIF,AKTIF,C000137,OSS_CEISA
4171545444328.0,30.965.207.4-466.609,PERUM KUSMAWATI PERMADI,Jalan Rawamangun No. 866,AKTIF,AKTIF,C000138,OSS_CEISA
5387584282417.0,24.825.135.3-465.549,PD UWAIS,Jl. Pasteur No. 99,AKTIF,AKTIF,C000139,OSS_CEISA
7170999173816.0,84.602.235.6-972.521,CV SITORUS SIHOMBING PERSERO TBK,Jl. Ronggowarsito No. 936,AKTIF,AKTIF,C000140,OSS_CEISA
5250074329271.0,29.666.676.0-083.505,UD RAJATA TBK,Jalan Waringin No. 35,AKTIF,AKTIF,C000141,OSS_CEISA
3003354216894.0,21.044.789.8-562.575,UD PUSPASARI,Jalan Kiaracondong No. 36,AKTIF,AKTIF,C000142,OSS_CEISA
2603323098215.0,06.489.090.1-001.676,PD NARPATI THAMRIN PERSERO TBK,Jalan R.E Martadinata No. 0,AKTIF,AKTIF,C000143,OSS_CEISA
8472304618499.0,26.189.141.1-739.348,PT MARYADI ANGGRIAWAN,Gang Cikutra Barat No. 9,AKTIF,AKTIF,C000144,OSS_CEISA
5642087375300.0,11.972.181.1-437.447,PT BUDIYANTO NURAINI TBK,Gg. Jend. Sudirman No. 182,AKTIF,AKTIF,C000145,OSS_CEISA
1204556110022.0,55.794.155.2-166.746,PD HUTAPEA TBK,Jalan Merdeka No. 10,AKTIF,AKTIF,C000146,OSS_CEISA
6212021697972.0,96.590.277.1-670.145,PT NARPATI,Gang H.J Maemunah No. 91,AKTIF,AKTIF,C000147,OSS_CEISA
8993588916375.0,62.890.028.7-721.753,PT SETIAWAN,Gg. Asia Afrika No. 926,AKTIF,AKTIF,C000148,OSS_CEISA
4083866317797.0,17.751.701.6-608.801,PERUM SITOMPUL WINARNO PERSERO TBK,Jalan Dipenogoro No. 31,AKTIF,AKTIF,C000149,OSS_CEISA
8837550375899.0,75.711.305.5-488.510,UD HARTATI,Gg. M.H Thamrin No. 62,AKTIF,AKTIF,C000150,OSS_CEISA
7261493316373.0,51.609.177.9-827.080,UD MANGUNSONG,Gg. Raya Setiabudhi No. 11,AKTIF,AKTIF,C000151,OSS_CEISA
9782922169958.0,66.934.654.7-226.984,PT NASHIRUDDIN ASTUTI,Jalan Astana Anyar No. 581,AKTIF,AKTIF,C000152,OSS_CEISA
8333945228851.0,58.799.684.6-081.062,PERUM PRASASTA,Jalan HOS. Cokroaminoto No. 44,AKTIF,AKTIF,C000153,OSS_CEISA
342442043805.0,71.983.863.8-406.665,UD LAKSMIWATI HUTAGALUNG TBK,Gg. Kutisari Selatan No. 3,AKTIF,AKTIF,C000154,OSS_CEISA
439735989334.0,72.122.816.0-648.422,PERUM WIBOWO TBK,Gang Suryakencana No. 2,AKTIF,AKTIF,C000155,OSS_CEISA
572025909479.0,85.158.328.1-826.886,PD SIMANJUNTAK SIREGAR,Gg. Sukabumi No. 65,AKTIF,AKTIF,C000156,OSS_CEISA
5335554398780.0,15.739.930.5-616.484,PD PRANOWO,Jalan Tubagus Ismail No. 7,AKTIF,AKTIF,C000157,OSS_CEISA
8588770435811.0,28.801.336.1-386.120,PT HASSANAH RAHIMAH TBK,Jalan Siliwangi No. 8,AKTIF,AKTIF,C000158,OSS_CEISA
5011024819346.0,67.665.061.8-091.901,PERUM YULIARTI,Gang Dr. Djunjunan No. 143,AKTIF,AKTIF,C000159,OSS_CEISA
,83.268.424.5-088.210,UD DONGORAN LAKSMIWATI,Gang Ciwastra No. 254,AKTIF,AKTIF,C000160,OSS_CEISA
9968814353682.0,22.394.312.9-087.814,PT FARIDA HARTATI TBK,Jalan Gardujati No. 512,AKTIF,AKTIF,C000161,OSS_CEISA
4139755231491.0,35.775.949.2-995.562,PD PRADIPTA WASKITA PERSERO TBK,Gang Astana Anyar No. 9,AKTIF,AKTIF,C000162,OSS_CEISA
5336452577754.0,78.129.142.8-341.108,CV SETIAWAN HARYANTO,Gg. Raya Ujungberung No. 714,AKTIF,AKTIF,C000163,OSS_CEISA
9969308488725.0,63.942.788.1-658.039,PERUM LATUPONO TAMPUBOLON TBK,Gg. Kendalsari No. 1,AKTIF,AKTIF,C000164,OSS_CEISA
8272299275037.0,31.453.038.5-677.005,UD MEGANTARA MELANI,Jalan Joyoboyo No. 62,AKTIF,AKTIF,C000165,OSS_CEISA
8449892665918.0,46.386.557.7-908.272,CV NASHIRUDDIN TBK,Gg. Antapani Lama No. 23,AKTIF,AKTIF,C000166,OSS_CEISA
1843222591365.0,17.773.926.0-302.992,PD LESTARI MARBUN PERSERO TBK,Gg. BKR No. 38,AKTIF,AKTIF,C000167,OSS_CEISA
8092024286990.0,41.379.772.3-692.929,PERUM LATUPONO,Jalan Cempaka No. 3,AKTIF,AKTIF,C000168,OSS_CEISA
4257991366210.0,38.862.912.7-990.881,UD IRAWAN TBK,Jl. Kutai No. 5,AKTIF,AKTIF,C000169,OSS_CEISA
7298068650863.0,76.599.162.4-731.498,PERUM TAMPUBOLON,Gg. PHH. Mustofa No. 94,AKTIF,AKTIF,C000170,OSS_CEISA
4300981806356.0,51.269.448.6-959.463,CV MAULANA SINAGA,Gang Ir. H. Djuanda No. 4,AKTIF,AKTIF,C000171,OSS_CEISA
8872588744956.0,21.372.138.6-589.026,UD HASANAH TBK,Jl. Erlangga No. 5,AKTIF,AKTIF,C000172,OSS_CEISA
1279611435190.0,66.984.902.7-703.843,UD SINAGA SURYONO TBK,Gang Cikapayang No. 170,AKTIF,AKTIF,C000173,OSS_CEISA
9883920530214.0,65.669.380.1-184.895,CV YULIANTI SIHOMBING,Jalan Suryakencana No. 41,AKTIF,AKTIF,C000174,OSS_CEISA
4393769042681.0,81.845.184.8-947.697,PT KUSWOYO ADRIANSYAH PERSERO TBK,Jl. Kutai No. 870,AKTIF,AKTIF,C000175,OSS_CEISA
5779071416335.0,65.880.434.1-651.827,CV WINARNO,Jl. Raya Setiabudhi No. 42,AKTIF,AKTIF,C000176,OSS_CEISA
5394237333433.0,33.952.111.7-908.075,PERUM YULIANTI,Gang Lembong No. 2,AKTIF,AKTIF,C000177,OSS_CEISA
