NIB_MATCH,NAMA_PERSEROAN_CLEAN,NPWP_CLEAN,NAMA_PERUSAHAAN_CLEAN,NPWP_CLEAN_CEISA,ID_PERUSAHAAN,NPWP_MATCH,NIB_CEISA
9421047095214.0,CV FUJIATI NUGROHO TBK,,CV FUJIATI NUGROHO TBK,,C000039,56.232.858.8-424.745,9421047095214
7123685160481.0,UD DABUKKE LAILASARI TBK,,UD DABUKKE LAILASARI TBK,,C000040,75.496.513.7-098.593,7123685160481
7461200471138.0,PD LESTARI PUSPITA,,PD LESTARI PUSPITA,,C000041,26.758.692.6-179.640,7461200471138
3773515850643.0,PD PUDJIASTUTI TBK,,PD PUDJIASTUTI TBK,,C000042,17.139.005.3-293.183,3773515850643
3529042284210.0,PD SAEFULLAH RAHMAWATI,,PD SAEFULLAH RAHMAWATI,,C000043,20.539.502.4-026.811,3529042284210
7589178390847.0,CV UYAINAH TBK,,CV UYAINAH TBK,,C000044,00.766.177.1-159.212,7589178390847
9985698478961.0,PD HIDAYANTO PERMATA PERSERO TBK,,PD HIDAYANTO PERMATA PERSERO TBK,,C000045,18.367.365.7-661.565,9985698478961
5271111615280.0,UD PURNAWATI SAFITRI PERSERO TBK,,UD PURNAWATI SAFITRI PERSERO TBK,,C000046,98.851.656.0-494.519,5271111615280
3273158514936.0,PD HARTATI,,PD HARTATI,,C000047,89.980.940.2-445.502,3273158514936
9612018366752.0,PERUM PRASETYO,,PERUM PRASETYO,,C000048,54.599.102.2-901.476,9612018366752
9764381561497.0,PERUM NAMAGA TBK,,PERUM NAMAGA TBK,,C000049,84.036.900.3-432.445,9764381561497
762268388516.0,UD PERMATA,,UD PERMATA,,C000050,06.071.596.9-664.160,762268388516
2975161369681.0,UD WASITA SITORUS TBK,,UD WASITA SITORUS TBK,,C000051,64.535.218.1-883.552,2975161369681
,UD SINAGA PERSERO TBK,,UD SINAGA PERSERO TBK,,C000052,79.955.271.7-744.905,1243292127799
1477005411998.0,UD FARIDA LAKSITA,,UD FARIDA LAKSITA,,C000053,67.980.793.5-978.207,1477005411998
5182037788925.0,PD SIREGAR MELANI,,PD SIREGAR MELANI,,C000054,54.665.905.1-518.644,5182037788925
5192546291486.0,PD SIREGAR TBK,,PD SIREGAR TBK,,C000055,52.816.850.5-423.573,5192546291486
2214188805929.0,PD SINAGA NAINGGOLAN PERSERO TBK,,PD SINAGA NAINGGOLAN PERSERO TBK,,C000056,62.229.270.6-537.947,2214188805929
8347359774688.0,PT FARIDA PERSERO TBK,,PT FARIDA PERSERO TBK,,C000057,62.392.407.5-818.141,8347359774688
4782613750606.0,UD WULANDARI,,UD WULANDARI,,C000058,85.361.530.5-152.204,4782613750606
2779010432898.0,CV SALAHUDIN DABUKKE PERSERO TBK,,CV SALAHUDIN DABUKKE PERSERO TBK,,C000059,61.434.103.6-971.179,2779010432898
893246095396.0,PT SURYATMI WIBOWO,,SURYATMI WIBOWO,,C000060,21.851.888.8-806.706,893246095396
4051531952058.0,PD SITUMORANG,,PD SITUMORANG,,C000061,52.772.217.0-430.305,4051531952058
8687403450541.0,UD DAMANIK TBK,,UD DAMANIK TBK,,C000062,56.676.527.7-584.161,8687403450541
,CV UTAMI PERSERO TBK,,UTAMI PERSERO TBK,,C000063,27.570.596.4-016.582,9284511544796
2970213556909.0,CV NAMAGA UTAMA,,CV NAMAGA UTAMA,,C000064,27.557.192.8-565.431,2970213556909
2786814473947.0,PT WIDODO PERSERO TBK,,PT WIDODO PERSERO TBK,,C000065,31.217.271.5-518.844,2786814473947
2583132370589.0,PERUM PRASETYA PERSERO TBK,,PERUM PRASETYA PERSERO TBK,,C000066,57.829.114.6-786.691,2583132370589
5177852892268.0,PD UWAIS WINARSIH TBK,,PD UWAIS WINARSIH TBK,,C000067,01.824.225.3-584.143,5177852892268
2498182992299.0,UD JANUAR UWAIS,,UD JANUAR UWAIS,,C000068,59.001.094.3-969.078,2498182992299
4736471027677.0,PERUM PUTRA HIDAYAT,,PERUM PUTRA HIDAYAT,,C000069,35.925.556.2-588.153,4736471027677
1473210469632.0,CV BUDIMAN,,CV BUDIMAN,,C000070,59.532.787.7-470.168,1473210469632
3395004797480.0,PERUM RAHAYU PERSERO TBK,,PERUM RAHAYU PERSERO TBK,,C000071,16.245.650.6-098.358,3395004797480
1687849912165.0,PD HANDAYANI,,PD HANDAYANI,,C000072,58.523.986.8-000.257,1687849912165
7298259526949.0,PT LATUPONO YOLANDA PERSERO TBK,,PT LATUPONO YOLANDA PERSERO TBK,,C000073,58.887.947.0-551.694,7298259526949
9749930972896.0,CV KUSMAWATI PERSERO TBK,,CV KUSMAWATI PERSERO TBK,,C000074,23.091.307.5-626.368,9749930972896
283857865278.0,UD WIDIASTUTI ANGGRAINI PERSERO TBK,,UD WIDIASTUTI ANGGRAINI PERSERO TBK,,C000075,58.549.733.4-843.443,283857865278
5758441986652.0,PT SETIAWAN PERSERO TBK,,PT SETIAWAN PERSERO TBK,,C000076,40.415.747.3-384.842,5758441986652
5758441986652.0,PT SETIAWAN PERSERO TBK,,PT SETIAWAN PERSERO TBK,,C000076,40.415.747.3-384.842,5758441986652
9933083301657.0,CV USADA,,CV USADA,,C000077,12.082.677.3-454.019,9933083301657
8026206724004.0,PT MANGUNSONG,,PT MANGUNSONG,,C000078,99.154.788.7-287.431,8026206724004
2742054932966.0,PD KUSUMO TBK,,PD KUSUMO TBK,,C000079,85.161.227.5-304.637,2742054932966
5499045301742.0,UD LAZUARDI PERSERO TBK,,UD LAZUARDI PERSERO TBK,,C000080,68.414.593.3-272.795,5499045301742
8783391878519.0,PT SIHOTANG PERMATA TBK,,PT SIHOTANG PERMATA TBK,,C000081,10.883.982.2-587.139,8783391878519
1870728679087.0,CV FUJIATI,,FUJIATI,,C000082,40.640.391.0-651.801,1870728679087
462265676618.0,UD TAMPUBOLON YULIARTI,,UD TAMPUBOLON YULIARTI,,C000083,25.128.682.3-004.786,462265676618
6337524310690.0,PERUM YUNIAR USADA TBK,,PERUM YUNIAR USADA TBK,,C000084,33.119.079.0-306.738,6337524310690
284395995342.0,PD HARTATI PERSERO TBK,,PD HARTATI PERSERO TBK,,C000085,83.644.089.2-687.056,284395995342
5662462873342.0,UD SUARTINI KUSMAWATI,,UD SUARTINI KUSMAWATI,,C000086,70.866.882.6-343.517,5662462873342
1830469901398.0,UD WAHYUDIN SURYONO,,UD WAHYUDIN SURYONO,,C000087,37.354.033.1-739.363,1830469901398
4678544587717.0,UD WAHYUNI PERSERO TBK,,UD WAHYUNI PERSERO TBK,,C000088,53.556.093.2-048.996,4678544587717
2353693785477.0,PD MELANI,,PD MELANI,,C000089,72.522.872.8-080.100,2353693785477
2312038750997.0,PERUM NAMAGA,,PERUM NAMAGA,,C000090,70.088.600.8-484.086,2312038750997
1182339845461.0,CV HANDAYANI TBK,,CV HANDAYANI TBK,,C000091,56.793.341.0-166.687,1182339845461
217659180339.0,CV PANGESTU SUARTINI PERSERO TBK,,CV PANGESTU SUARTINI PERSERO TBK,,C000092,74.014.890.2-503.926,217659180339
4293968562185.0,PD ISWAHYUDI PRASETYA,,PD ISWAHYUDI PRASETYA,,C000093,01.631.599.9-650.477,4293968562185
5866296194311.0,PT YULIANTI TBK,,PT YULIANTI TBK,,C000094,42.626.551.1-047.541,5866296194311
1267888610158.0,CV PUDJIASTUTI SUDIATI,,PUDJIASTUTI SUDIATI,,C000095,19.956.046.6-183.982,1267888610158
2244472126464.0,PERUM NASYIAH BUDIYANTO PERSERO TBK,,PERUM NASYIAH BUDIYANTO PERSERO TBK,,C000096,71.543.799.3-712.406,2244472126464
9657569245937.0,PT NOVITASARI PERSERO TBK,,NOVITASARI PERSERO TBK,,C000097,52.654.793.5-646.519,9657569245937
9828073741672.0,CV GUNAWAN TBK,,CV GUNAWAN TBK,,C000098,43.426.617.9-796.886,9828073741672
5891135290965.0,CV GUNARTO,,CV GUNARTO,,C000099,61.014.388.8-993.756,5891135290965
9825071461125.0,UD FUJIATI,,UD FUJIATI,,C000100,45.738.757.1-775.140,9825071461125
512382825867.0,PERUM SIHOMBING SINAGA,,PERUM SIHOMBING SINAGA,,C000101,36.226.609.3-796.603,512382825867
4191825537147.0,PERUM FUJIATI TBK,,PERUM FUJIATI TBK,,C000102,85.969.691.5-579.249,4191825537147
2513412528669.0,CV YULIARTI,,CV YULIARTI,,C000103,29.662.782.8-274.225,2513412528669
9050723688767.0,PD SIHOTANG TBK,,PD SIHOTANG TBK,,C000104,67.721.903.4-043.842,9050723688767
9788191485807.0,PD PANGESTU PERSERO TBK,,PD PANGESTU PERSERO TBK,,C000105,83.613.407.4-517.133,9788191485807
9629233095849.0,UD MANULLANG PERSERO TBK,,UD MANULLANG PERSERO TBK,,C000106,82.544.948.1-260.422,9629233095849
2536729466711.0,PERUM IRAWAN HARYANTO,,PERUM IRAWAN HARYANTO,,C000107,68.457.759.0-175.186,2536729466711
6374545892975.0,CV PUSPASARI PERSERO TBK,,PUSPASARI PERSERO TBK,,C000108,00.170.127.7-063.242,6374545892975
1541520643611.0,PT RAMADAN PERSERO TBK,,PT RAMADAN PERSERO TBK,,C000109,03.712.938.7-005.162,1541520643611
1361115542622.0,PERUM GUNARTO PERSERO TBK,,PERUM GUNARTO PERSERO TBK,,C000110,18.909.275.3-269.731,1361115542622
2196565234138.0,PD SALAHUDIN HASANAH,,PD SALAHUDIN HASANAH,,C000111,99.940.438.9-836.403,2196565234138
6137918055269.0,PD MUSTOFA TBK,,PD MUSTOFA TBK,,C000112,65.827.109.1-043.006,6137918055269
4866618892414.0,CV MANULLANG SIMBOLON TBK,,CV MANULLANG SIMBOLON TBK,,C000113,18.328.569.1-463.031,4866618892414
1799042102027.0,CV PADMASARI THAMRIN,,PADMASARI THAMRIN,,C000114,58.842.524.1-056.481,1799042102027
9177850792524.0,UD WASKITA TBK,,UD WASKITA TBK,,C000115,19.138.000.3-075.622,9177850792524
8635365419518.0,PERUM SETIAWAN OKTAVIANI PERSERO TBK,,PERUM SETIAWAN OKTAVIANI PERSERO TBK,,C000116,02.380.617.4-451.870,8635365419518
3494937597383.0,PT FIRGANTORO,,PT FIRGANTORO,,C000117,20.603.850.5-064.138,3494937597383
,PERUM SIRAIT TBK,,PERUM SIRAIT TBK,,C000118,91.826.199.0-623.445,6702410386571
5574313291212.0,PT PADMASARI KUSWANDARI,,PT PADMASARI KUSWANDARI,,C000119,77.561.853.7-474.112,5574313291212
9035213568044.0,PD MARDHIYAH SURYATMI,,PD MARDHIYAH SURYATMI,,C000120,20.678.831.7-121.003,9035213568044
3651994101372.0,UD SURYATMI TBK,,UD SURYATMI TBK,,C000121,15.107.029.6-670.662,3651994101372
3244720999347.0,UD MAHESWARA TBK,,UD MAHESWARA TBK,,C000122,68.701.462.6-383.806,3244720999347
7875985642059.0,PERUM SAPUTRA PERSERO TBK,,PERUM SAPUTRA PERSERO TBK,,C000123,30.407.859.3-213.348,7875985642059
3965223955905.0,PT ZULAIKA MANDALA PERSERO TBK,,PT ZULAIKA MANDALA PERSERO TBK,,C000124,99.293.784.2-701.039,3965223955905
,PERUM FIRGANTORO NATSIR,,PERUM FIRGANTORO NATSIR,,C000125,29.218.515.6-915.452,870593252500
6752895392644.0,UD HASANAH TBK,,UD HASANAH TBK,,C000126,22.096.902.9-593.917,6752895392644
5135521570433.0,CV SURYATMI UYAINAH,,CV SURYATMI UYAINAH,,C000127,15.410.067.6-267.658,5135521570433
1793271040541.0,CV HASSANAH SANTOSO TBK,,CV HASSANAH SANTOSO TBK,,C000128,15.262.181.5-997.062,1793271040541
2015336884443.0,PT UYAINAH TBK,,PT UYAINAH TBK,,C000129,10.698.720.5-061.497,2015336884443
1032417146774.0,PERUM HUTAPEA NOVITASARI,,PERUM HUTAPEA NOVITASARI,,C000130,18.625.652.7-047.743,1032417146774
9021158693806.0,PT ZULAIKA PUTRA TBK,,ZULAIKA PUTRA TBK,,C000131,86.879.374.1-608.989,9021158693806
1722332061632.0,PT PRATAMA PERSERO TBK,,PT PRATAMA PERSERO TBK,,C000132,94.511.686.8-548.709,1722332061632
6162299911914.0,PD WAHYUDIN WIBOWO,,PD WAHYUDIN WIBOWO,,C000133,85.646.799.7-024.629,6162299911914
653074505444.0,CV ADRIANSYAH DAMANIK,,ADRIANSYAH DAMANIK,,C000134,71.324.754.6-913.736,653074505444
8508214862890.0,PD SUSANTI,,PD SUSANTI,,C000135,23.303.070.5-345.786,8508214862890
357972798552.0,PT MANDALA MARDHIYAH,,PT MANDALA MARDHIYAH,,C000136,41.406.029.3-333.468,357972798552
357972798552.0,PT MANDALA MARDHIYAH,,PT MANDALA MARDHIYAH,,C000136,41.406.029.3-333.468,357972798552
722903494466.0,UD HALIM PERSERO TBK,,UD HALIM PERSERO TBK,,C000137,57.437.489.6-910.858,722903494466
4171545444328.0,PERUM KUSMAWATI PERMADI,,PERUM KUSMAWATI PERMADI,,C000138,30.965.207.4-466.609,4171545444328
5387584282417.0,PD UWAIS,,PD UWAIS,,C000139,24.825.135.3-465.549,5387584282417
7170999173816.0,CV SITORUS SIHOMBING PERSERO TBK,,CV SITORUS SIHOMBING PERSERO TBK,,C000140,84.602.235.6-972.521,7170999173816
5250074329271.0,UD RAJATA TBK,,UD RAJATA TBK,,C000141,29.666.676.0-083.505,5250074329271
3003354216894.0,UD PUSPASARI,,UD PUSPASARI,,C000142,21.044.789.8-562.575,3003354216894
2603323098215.0,PD NARPATI THAMRIN PERSERO TBK,,PD NARPATI THAMRIN PERSERO TBK,,C000143,06.489.090.1-001.676,2603323098215
8472304618499.0,PT MARYADI ANGGRIAWAN,,PT MARYADI ANGGRIAWAN,,C000144,26.189.141.1-739.348,8472304618499
5642087375300.0,PT BUDIYANTO NURAINI TBK,,PT BUDIYANTO NURAINI TBK,,C000145,11.972.181.1-437.447,5642087375300
1204556110022.0,PD HUTAPEA TBK,,PD HUTAPEA TBK,,C000146,55.794.155.2-166.746,1204556110022
6212021697972.0,PT NARPATI,,PT NARPATI,,C000147,96.590.277.1-670.145,6212021697972
8993588916375.0,PT SETIAWAN,,PT SETIAWAN,,C000148,62.890.028.7-721.753,8993588916375
4083866317797.0,PERUM SITOMPUL WINARNO PERSERO TBK,,PERUM SITOMPUL WINARNO PERSERO TBK,,C000149,17.751.701.6-608.801,4083866317797
8837550375899.0,UD HARTATI,,UD HARTATI,,C000150,75.711.305.5-488.510,8837550375899
7261493316373.0,UD MANGUNSONG,,UD MANGUNSONG,,C000151,51.609.177.9-827.080,7261493316373
9782922169958.0,PT NASHIRUDDIN ASTUTI,,PT NASHIRUDDIN ASTUTI,,C000152,66.934.654.7-226.984,9782922169958
8333945228851.0,PERUM PRASASTA,,PERUM PRASASTA,,C000153,58.799.684.6-081.062,8333945228851
342442043805.0,UD LAKSMIWATI HUTAGALUNG TBK,,UD LAKSMIWATI HUTAGALUNG TBK,,C000154,71.983.863.8-406.665,342442043805
439735989334.0,PERUM WIBOWO TBK,,PERUM WIBOWO TBK,,C000155,72.122.816.0-648.422,439735989334
572025909479.0,PD SIMANJUNTAK SIREGAR,,PD SIMANJUNTAK SIREGAR,,C000156,85.158.328.1-826.886,572025909479
5335554398780.0,PD PRANOWO,,PD PRANOWO,,C000157,15.739.930.5-616.484,5335554398780
8588770435811.0,PT HASSANAH RAHIMAH TBK,,PT HASSANAH RAHIMAH TBK,,C000158,28.801.336.1-386.120,8588770435811
5011024819346.0,PERUM YULIARTI,,PERUM YULIARTI,,C000159,67.665.061.8-091.901,5011024819346
,UD DONGORAN LAKSMIWATI,,UD DONGORAN LAKSMIWATI,,C000160,83.268.424.5-088.210,8144914766072
9968814353682.0,PT FARIDA HARTATI TBK,,FARIDA HARTATI TBK,,C000161,22.394.312.9-087.814,9968814353682
4139755231491.0,PD PRADIPTA WASKITA PERSERO TBK,,PD PRADIPTA WASKITA PERSERO TBK,,C000162,35.775.949.2-995.562,4139755231491
5336452577754.0,CV SETIAWAN HARYANTO,,CV SETIAWAN HARYANTO,,C000163,78.129.142.8-341.108,5336452577754
9969308488725.0,PERUM LATUPONO TAMPUBOLON TBK,,PERUM LATUPONO TAMPUBOLON TBK,,C000164,63.942.788.1-658.039,9969308488725
8272299275037.0,UD MEGANTARA MELANI,,UD MEGANTARA MELANI,,C000165,31.453.038.5-677.005,8272299275037
8449892665918.0,CV NASHIRUDDIN TBK,,CV NASHIRUDDIN TBK,,C000166,46.386.557.7-908.272,8449892665918
1843222591365.0,PD LESTARI MARBUN PERSERO TBK,,PD LESTARI MARBUN PERSERO TBK,,C000167,17.773.926.0-302.992,1843222591365
8092024286990.0,PERUM LATUPONO,,PERUM LATUPONO,,C000168,41.379.772.3-692.929,8092024286990
4257991366210.0,UD IRAWAN TBK,,UD IRAWAN TBK,,C000169,38.862.912.7-990.881,4257991366210
7298068650863.0,PERUM TAMPUBOLON,,PERUM TAMPUBOLON,,C000170,76.599.162.4-731.498,7298068650863
4300981806356.0,CV MAULANA SINAGA,,CV MAULANA SINAGA,,C000171,51.269.448.6-959.463,4300981806356
8872588744956.0,UD HASANAH TBK,,UD HASANAH TBK,,C000172,21.372.138.6-589.026,8872588744956
1279611435190.0,UD SINAGA SURYONO TBK,,UD SINAGA SURYONO TBK,,C000173,66.984.902.7-703.843,1279611435190
9883920530214.0,CV YULIANTI SIHOMBING,,CV YULIANTI SIHOMBING,,C000174,65.669.380.1-184.895,9883920530214
4393769042681.0,PT KUSWOYO ADRIANSYAH PERSERO TBK,,PT KUSWOYO ADRIANSYAH PERSERO TBK,,C000175,81.845.184.8-947.697,4393769042681
5779071416335.0,CV WINARNO,,CV WINARNO,,C000176,65.880.434.1-651.827,5779071416335
5394237333433.0,PERUM YULIANTI,,PERUM YULIANTI,,C000177,33.952.111.7-908.075,5394237333433
7947284639208.0,PT RAHMAWATI WINARNO,,RAHMAWATI WINARNO,,C000178,67.808.562.7-187.500,7947284639208
6915594284347.0,PD SIHOMBING YULIARTI,,PD SIHOMBING YULIARTI,,C000179,95.527.636.5-564.729,6915594284347
9314386632270.0,PERUM ANDRIANI UTAMA PERSERO TBK,,PERUM ANDRIANI UTAMA PERSERO TBK,,C000180,26.728.857.4-489.061,9314386632270
347175455884.0,PD WACANA HUTASOIT PERSERO TBK,,PD WACANA HUTASOIT PERSERO TBK,,C000181,50.615.939.9-824.558,347175455884
7169472256996.0,PD PERMADI PERSERO TBK,,PD PERMADI PERSERO TBK,,C000182,11.253.554.4-964.759,7169472256996
7622023413261.0,CV MANDASARI,,CV MANDASARI,,C000183,11.780.068.1-149.216,7622023413261
3347228200557.0,PD HASANAH,,PD HASANAH,,C000184,78.487.282.9-979.688,3347228200557
5783174564240.0,PT PRASASTA,,PRASASTA,,C000185,08.254.780.7-740.649,5783174564240
853686632663.0,PT PERTIWI TBK,,PT PERTIWI TBK,,C000186,41.638.944.8-463.122,853686632663
1797497350208.0,PERUM HASANAH,,PERUM HASANAH,,C000187,02.144.270.3-120.735,1797497350208
4757051204618.0,CV ARDIANTO WASITA,,CV ARDIANTO WASITA,,C000188,72.346.013.6-730.371,4757051204618
3764520881474.0,PD LESTARI HALIM,,PD LESTARI HALIM,,C000189,35.031.365.0-249.163,3764520881474
979251327195.0,PT RAHAYU PURNAWATI PERSERO TBK,,PT RAHAYU PURNAWATI PERSERO TBK,,C000190,00.528.127.3-585.730,979251327195
5240778487392.0,CV PADMASARI KURNIAWAN,,CV PADMASARI KURNIAWAN,,C000191,85.574.982.1-827.448,5240778487392
7086209593518.0,UD LAZUARDI ISWAHYUDI PERSERO TBK,,UD LAZUARDI ISWAHYUDI PERSERO TBK,,C000192,63.878.294.5-651.181,7086209593518
2203173109678.0,PD HARTATI,,PD HARTATI,,C000193,99.405.391.0-371.705,2203173109678
5094801413811.0,PT DAMANIK PERSERO TBK,,PT DAMANIK PERSERO TBK,,C000194,38.633.839.2-886.195,5094801413811
6122868528975.0,PT WIBOWO ZULAIKA TBK,,PT WIBOWO ZULAIKA TBK,,C000195,58.556.659.3-983.684,6122868528975
7760049082404.0,PD ZULKARNAIN TBK,,PD ZULKARNAIN TBK,,C000196,33.504.888.9-921.075,7760049082404
2459334419693.0,UD PRATIWI MARDHIYAH TBK,,UD PRATIWI MARDHIYAH TBK,,C000197,15.727.919.4-096.105,2459334419693
6613906048058.0,CV JANUAR PRAYOGA,,CV JANUAR PRAYOGA,,C000198,92.583.206.7-998.136,6613906048058
6225179086416.0,PERUM DABUKKE TBK,,PERUM DABUKKE TBK,,C000199,86.227.837.6-938.983,6225179086416
1465911665535.0,PERUM KUSWANDARI,,PERUM KUSWANDARI,,C000200,59.042.597.9-270.335,1465911665535
1103924051477.0,PT WAHYUDIN TBK,,PT WAHYUDIN TBK,,C000201,05.383.388.4-879.206,1103924051477
420439407016.0,PD SAMOSIR SIHOMBING,,PD SAMOSIR SIHOMBING,,C000202,45.104.636.8-157.981,420439407016
3878003845762.0,PD MEGANTARA,,PD MEGANTARA,,C000203,05.554.384.0-460.843,3878003845762
5621689363926.0,UD RAJASA,,UD RAJASA,,C000204,49.578.232.9-832.482,5621689363926
2925188125205.0,PD PERMATA,,PD PERMATA,,C000205,66.474.231.2-209.949,2925188125205
9330517289752.0,PT PUDJIASTUTI ISWAHYUDI,,PUDJIASTUTI ISWAHYUDI,,C000206,67.722.330.6-046.333,9330517289752
2797573660965.0,PD PUSPASARI NAMAGA,,PD PUSPASARI NAMAGA,,C000207,69.998.808.1-770.388,2797573660965
868034764472.0,UD WIJAYANTI,,UD WIJAYANTI,,C000208,64.908.277.1-812.982,868034764472
6570279371452.0,PT YUNIAR TBK,,PT YUNIAR TBK,,C000209,11.175.186.8-926.860,6570279371452
5922220644742.0,CV WIDIASTUTI,,CV WIDIASTUTI,,C000210,12.309.407.7-780.973,5922220644742
9776719903849.0,PD SALAHUDIN HUTAPEA,,PD SALAHUDIN HUTAPEA,,C000211,83.022.050.2-099.451,9776719903849
1622499982795.0,CV UTAMI MAULANA TBK,,CV UTAMI MAULANA TBK,,C000212,01.455.616.8-147.214,1622499982795
8683390198179.0,PT AGUSTINA MARYADI PERSERO TBK,,PT AGUSTINA MARYADI PERSERO TBK,,C000213,46.954.899.5-299.787,8683390198179
2934301071396.0,PT NATSIR SAEFULLAH TBK,,PT NATSIR SAEFULLAH TBK,,C000214,60.558.303.4-414.488,2934301071396
155699023557.0,UD LESTARI PERSERO TBK,,UD LESTARI PERSERO TBK,,C000215,70.272.785.7-608.495,155699023557
